phylum,class,order,family,genus,species,common_name,species_type,dive_location,latitude,longitude,lcode,rw_number,survey_date,drange1,drange2
Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Diodon,nichthemerus,Globefish,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Porifera,Demospongiae,Dendroceratida,Darwinellidae,Dendrilla,rosea,Rose Sponge,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,bergquistae,Golfball Sponge,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Cnidaria,Anthozoa,Actiniaria,Actiniidae,Phlyctenactis,tuberculosa,Orange Wandering,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Cnidaria,Anthozoa,Actiniaria,Sagartiidae,Anthothoe,albocincta,Orange and White Striped Anenome (Striped Anemone),Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Mollusca,Gastropoda,,Haliotidae,Haliotis,rubra,Blacklip Abalone,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Mollusca,Gastropoda,,Fissurellidae,Scutus,antipodes,Elephant Snail,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Echinodermata,Asteroidea,Valvatida,Asterinidae,Meridiastra,gunnii,Purple sea star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Echinodermata,Asteroidea,Valvatida,Asterinidae,Meridiastra,calcar,Variable Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,muricata,Eleven Armed Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Uniophora,granifera,Knobby Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
