"id","organism_no","cg_name","common_name","genus","species","family","order","class","phylum","slate_2001","slate_2009","feral_peril","ot_class","description","restrict_code","species_type","fishcount","filename","map_filename","photographer_of_photo","id_notes","reefwatch_slate"
15,1,"Shark","Port Jackson Shark","Heterodontus","portusjacksoni","Heterodontidae","Heterodontiformes","Elasmobranchii","Chordata","y","y","n","\N","Found in sheltered and moderately exposed reefs.This species has high crests over the eyes and broad dark bars down the sides. At 10 years of age they are approx 800mm in length. It has a venomous barb in front of each dorsal fin.","\N","Fish Species","\N","15.jpg","15.gif","Mark Norman","\N","t"
16,2,"Shark","Varied Carpet Shark (aka. Varied Catshark)","Parascyllium","variolatum","Parascyllidae","Orectolobiformes","Elasmobranchii","Chordata","y","y","n","\N","You are most likely to see the varied catshark on a night dive as they like to hide in crevices and kelp during the day. It's long slender body has a snake-like appearance, with a black collar around the neck,the dark brown body is punctuated with large white spots.","\N","Fish Species","\N","16.jpg","\N","Rudie Kuiter","Name Change Aug 2009 for new RW kit.","t"
17,3,"Shark","Spotted Wobbegong","Orectolobus","maculatus","Orectolobidae","Orectolobiformes","Elasmobranchii","Chordata","y","n","y","\N","A flattened shark, the spotted wobbegong is recognised from the ornate wobbegong by it's circular blotches surrounded by rings of white spots on the upper body surface. It has the characteristic lobes hanging down from the upper lip.","\N","Fish Species","\N","17.jpg","\N","Rudie Kuiter","Name change Aug 2009 for new RW slate.","t"
18,4,"Shark","Draughtboard Shark","Cephaloscyllium","laticeps","Scyliorhinidae","Carcharhiniformes","Elasmobranchii","Chordata","y","y","n","\N","Dorsal surfaces pale brown with irregular saddle blotches, no dark spots, pale ventrally","\N","Fish Species","\N","18.gif","18.jpg","Rudie Kuiter","\N","t"
19,5,"Shark","Angelshark","Squantina","australis","Squatinidae","Squatiniformes","Elasmobranchii","Chordata","y","y","n","\N","The Angel shark is a large shark that buries itself beneath a thin layer of sand near reefs and seagrass beds. The head appears to be incompletely joined to the pectoral fins.Body surface is light grey upper surface covered by numerours white spots.","\N","Fish Species","\N","19.jpg","19.gif","Rudie Kuiter","\N","t"
20,6,"Ray","Southern Fidler Ray (aka. Banjo Ray)","Trygonorrhina","fasciata","Rhinobatidae","Rajiformes","Elasmobranchii","Chordata","y","y","n","\N","Also known as a Fidler ray, they often enter shallow waters to forage over sandflats.Although covered in ornate markings, a triangle marking immediately behind the eyes distinguishes it from another species(T.guanerius)","\N","Fish Species","\N","20.jpg","20.gif","Mark Norman","Name change Aug 2009 for new RW slate.","t"
21,7,"Ray","Smooth Stingray (aka.Black Stingray)","Dasyatis","thetidis","Dasyatididae","Myliobatiformes","Elasmobranchii","Chordata","y","y","n","\N","Large uniformally dark (grey to black) stingray with a rhomboidal disc, sharp thorns over the head and back of adults. The elongate tail is broad based and has skin folds,tapers posteriorly.May attain a weight of more than 200kg.","\N","Fish Species","\N","21.jpg","21.gif","Rudie Kuiter","\N","t"
22,8,"Ray","Melbourne Skate","Dipturus","whitleyi","Rajidae","Rajiformes","Elasmobranchii","Chordata","y","y","n","\N","\N","\N","Fish Species","\N","22.jpg","22.gif","Rudie Kuiter","\N","t"
23,9,"Stingarees","Spotted Stingaree","Urolophus","gigas","Urolophidae","Myliobatiformes","Elasmobranchii","Chordata","y","y","n","\N","A large (up to 70cm), dark coloured stingareee with a complex pattern of pale spots on the upper surface. A dorsal fin, no tail folds. Often seen by divers in sand near seagrass beds.","\N","Fish Species","\N","23.jpg","\N","Mark Norman","\N","t"
24,10,"Stingarees","Eastern Shovelnose Stingaree","Urolophus","sp. (undescribed)","Urolophidae","Myliobatiformes","Elasmobranchii","Chordata","y","n","n","\N","A medium to large dark brown stingaree with thick body, broad lobes on the border of the nostril, lacking both dorsal fin and tail folds. To 80 cm. Common in Port Phillip and Westernport Bay. Little is known of its biology.","\N","Fish Species","\N","24.jpg","24.gif","Reef Watch","\N","t"
